agent_id,field,outcome,n
agent_a,makes_explicit_causal_claim,FN,4
agent_a,makes_explicit_causal_claim,FP,6
agent_a,makes_explicit_causal_claim,TN,160
agent_a,makes_explicit_causal_claim,TP,1
agent_b,makes_explicit_causal_claim,FN,0
agent_b,makes_explicit_causal_claim,FP,27
agent_b,makes_explicit_causal_claim,TN,139
agent_b,makes_explicit_causal_claim,TP,5
agent_c,makes_explicit_causal_claim,FN,3
agent_c,makes_explicit_causal_claim,FP,9
agent_c,makes_explicit_causal_claim,TN,157
agent_c,makes_explicit_causal_claim,TP,2
agent_a,makes_implicit_causal_claim,FN,17
agent_a,makes_implicit_causal_claim,FP,11
agent_a,makes_implicit_causal_claim,TN,127
agent_a,makes_implicit_causal_claim,TP,16
agent_b,makes_implicit_causal_claim,FN,30
agent_b,makes_implicit_causal_claim,FP,1
agent_b,makes_implicit_causal_claim,TN,137
agent_b,makes_implicit_causal_claim,TP,3
agent_c,makes_implicit_causal_claim,FN,16
agent_c,makes_implicit_causal_claim,FP,7
agent_c,makes_implicit_causal_claim,TN,131
agent_c,makes_implicit_causal_claim,TP,17
