_file,has_introduction_section,little_template,little_template_justification,intro_presents_main_result,intro_presents_main_result_quote,inverted_pyramid,lit_review_location,lit_review_has_title_literature_review,intro_communicates_prior_update,intro_prior_update_quote,uses_numbered_hypotheses,has_roadmap_paragraph,n_sections,section_titles,_elapsed_s
2025_Acs_Mapping_the_Political_Contours_of_the_Regulatory_State_Dyna.pdf,True,hybrid_1_2,"The introduction opens with a substantive, real-world setup about partisan conflict over regulation, then pivots to the need for a new way to measure agency ideology. The core contribution is framed as filling a measurement gap, but it is motivated through a broad factual/political scene-setting move.",True,"The article then interprets the results, discussing both why some agencies have significantly changed in their estimated ideology over time and the substantial increase in regulatory productivity that occurs when agencies shift ideologically closer to the president.",False,distributed,False,clear_what_only,"The article then interprets the results, discussing both why some agencies have significantly changed in their estimated ideology over time and the substantial increase in regulatory productivity that occurs when agencies shift ideologically closer to the president.",False,True,6,"['INTRODUCTION', 'CONCEPTUALIZING AND MEASURING AGENCY IDEOLOGY', 'DATA', 'THEORETICAL FRAMEWORK AND STATISTICAL MODEL', 'EMPIRICAL ESTIMATES OF AGENCY IDEOLOGY', 'CONCLUSION']",241.4
2025_Barceló_Attitudinal_and_Behavioral_Legacies_of_Wartime_Violence_A_M.pdf,True,hybrid_2_3,"The introduction frames the paper around an unresolved debate over whether wartime violence fosters prosocial engagement or instead hardens group boundaries, while also stressing that the existing evidence and earlier meta-analysis are limited. The paper therefore combines debate adjudication with a gap-filling move based on a much larger synthesis.",True,"While exposure to wartime violence can increase certain forms of engagement, such as participation in social groups, this engagement does not necessarily translate into bridging social capital that fosters trust and cooperation across divides. More often, heightened engagement appears alongside intensified outgroup antagonism and stronger ingroup solidarity, patterns that risk reinforcing social boundaries rather than eroding them.",False,separate_section,False,clear_what_only,"Taken together, these meta-analyses challenge optimistic perspectives that emphasize the civic benefits of wartime exposure. While exposure to wartime violence can increase certain forms of engagement, such as participation in social groups, this engagement does not necessarily translate into bridging social capital that fosters trust and cooperation across divides.",False,False,5,"['PRIOR LITERATURE', 'RESEARCH DESIGN', 'ESTIMATION TECHNIQUE', 'RESULTS', 'CONCLUSION']",320.9
2025_Bates_Threats_and_Commitments_International_Tribunals_and_Domesti.pdf,True,hybrid_1_2,"The introduction opens with a concrete Colombia vignette and an explicit puzzle about why elites would comply with international accountability demands during peace negotiations. It then pivots to a gap claim, arguing that scholars have paid little attention to the content of peace agreements negotiated under ICC involvement.",True,"I find that ICC involvement, via the concrete threat of intervention and intervention itself, is associated with an increase in the likelihood that a peace agreement contains a commitment to implement domestic trials.",False,separate_section,False,clear_what_only,"I find that ICC involvement, via the concrete threat of intervention and intervention itself, is associated with an increase in the likelihood that a peace agreement contains a commitment to implement domestic trials.",True,True,7,"['INTRODUCTION', 'JUSTICE AND PEACE', 'ARGUMENT', 'DATA AND RESEARCH DESIGN', 'RESULTS', 'CASE STUDIES', 'CONCLUSION']",223.2
2025_Byun_Performative_Violence_and_the_Spectacular_Debut_of_the_Atomi.pdf,True,hybrid_1_2,"The introduction is built around a substantive puzzle: why U.S. leaders chose an ultralethal atomic debut when several alternative use options were available. At the same time, it explicitly positions the paper as filling an overlooked gap in IR scholarship, rather than mainly adjudicating an existing debate.",True,They believed that only a spectacularly lethal debut of atomic weaponry would favorably alter global perceptions of the bomb and the balance of world power. Concerns that went beyond the issue of Japanese surrender and the Soviet Union’s expected reactions thus critically shaped the way in which the atomic bomb made its first appearance to the world.,False,separate_section,False,clear_what_and_magnitude,"To an extent seldom recognized, then, a key element in the liberal international order’s foundation was a carefully crafted display of shockingly lethal violence. Only after clarifying the atomic bomb’s astounding power to the world could the United States confidently embrace restraint via postwar institutions.",False,False,12,"['THE ATOMIC BOMBINGS OF 1945 IN IR AND HISTORICAL SCHOLARSHIP', 'THE LOGIC OF VIOLENT DISPLAY DURING WAR', 'LEADUP TO HIROSHIMA: THE AMERICAN GEOPOLITICAL OUTLOOK IN LATE WORLD WAR II', 'HOW TO USE THE BOMB: ALTERNATIVE NUCLEAR USE SCENARIOS', 'SUMMARY AND ALTERNATIVE EXPLANATIONS', 'CONCLUSION', 'SUPPLEMENTARY MATERIAL', 'ACKNOWLEDGEMENTS', 'AUTHOR CONTRIBUTION', 'CONFLICT OF INTEREST', 'ETHICAL STANDARDS', 'REFERENCES']",328.8
2025_Conevska_How_Partisan_Are_US_Local_Elections_Evidence_from_2020_Ca.pdf,True,hybrid_2_3,"The introduction stages a debate between the nationalization of local politics and the view that local politics remains distinct, then argues that existing evidence is too limited and piecemeal to adjudicate that debate nationwide. The paper positions itself as resolving that debate by filling the empirical gap with comprehensive cast vote record data.",True,"The APG is 91 percentage points for the average state partisan office, 85 points for the average local partisan office, but only 22 points for local nonpartisan offices (e.g., school boards and city councils) and 18 points for local ballot measures. In an individual-level regression predicting vote choice in these subnational offices, a voter’s national party allegiance explains nearly 89% of the within-contest variation in vote choices for state partisan office, but less than 8% of the same variation in vote choices for local ballot measures.",False,integrated_intro,False,clear_what_and_magnitude,"Our findings show high levels of presidential party loyalty in state candidate elections with party labels (state partisan offices), slightly weaker levels in local candidate elections with party labels (local partisan offices), and much weaker levels in nonpartisan offices and ballot measures. The APG is 91 percentage points for the average state partisan office, 85 points for the average local partisan office, but only 22 points for local nonpartisan offices (e.g., school boards and city councils) and 18 points for local ballot measures.",False,False,12,"['INTRODUCTION', 'DATA AND MEASURES', 'THE PARTISAN GAP IN STATE AND LOCAL ELECTIONS', 'VARIATION IN PARTISANSHIP ACROSS LOCAL OFFICES', 'VARIATION IN PARTISANSHIP ACROSS ISSUE AREAS', 'EVIDENCE FOR ISSUE VOTING ON LOCAL BALLOT MEASURES', 'DISCUSSION AND CONCLUSION', 'SUPPLEMENTARY MATERIAL', 'DATA AVAILABILTY STATEMENT', 'ACKNOWLEDGEMENTS', 'CONFLICT OF INTEREST', 'ETHICAL STANDARDS']",291.8
2025_DIXIT_The_Impact_of_Welfare_on_Intergroup_Relations_Caste-Based_S.pdf,False,hybrid_1_2,"The introduction is anchored by a substantive puzzle: why caste-based social segregation persists and whether welfare can weaken coethnic dependence and improve intergroup ties. It also frames the paper as filling a gap by positioning welfare as an underexplored driver of caste change, rather than mainly adjudicating a live debate between competing camps.",True,"Consistent with my hypotheses, where welfare reduces in-group economic reliance, I find reduced social investment in co-ethnics and improved ties with non-coethnics. By contrast, where land ownership is more concentrated in the hands of a dominant caste, RBS benefits are less likely to reach a broad cross-section of castes. In these areas, I do not find significant effects on borrowing from caste members or intercaste ties.",False,distributed,False,clear_what_and_magnitude,"In these villages, welfare reduced borrowing from caste members by over 40%. It also increased meal sharing, lowered the likelihood that most or all of respondents’ friends were of the same caste by 33%, and raised the donation amount by 19%, indicating that respondents were more willing to allocate resources toward an outgroup.",True,False,8,"['THEORY', 'CASTE AND SOCIAL INSURANCE', 'CONTEXT', 'RESEARCH DESIGN: OVERVIEW', 'THE IMPACT OF WELFARE ON CASTE-BASED SOCIAL INSURANCE', 'THE IMPACT OF WELFARE ON CASTE-BASED SOCIAL INTEGRATION', 'HOW CASTE-BASED SOCIAL INSURANCE SHAPES SOCIAL INTEGRATION', 'CONCLUSION']",259.4
2025_Erez_Citizenship_Renunciation_without_Emigration.pdf,True,hybrid_1_3,"The introduction opens with a clear puzzle or anomaly: citizenship renunciation is increasingly accepted, but only when paired with emigration. It then reframes that anomaly as a two-horned dilemma and resolves it by rejecting mandatory citizenship for long-term residents and defending renunciation without emigration.",True,"In this article, I argue that citizens should have the right to renounce their citizenship without the requirement of emigration.",True,distributed,False,clear_what_only,"In this article, I argue that citizens should have the right to renounce their citizenship without the requirement of emigration.",False,True,11,"['INTRODUCTION', 'SETTING THE STAGE: TERMS AND DEFINITIONS', 'THE DILEMMA', 'MANDATORY CITIZENSHIP FOR LONG-TERM RESIDENTS?', 'CITIZENSHIP RENUNCIATION AS A FORM OF EXPRESSIVE POLITICAL EXIT', 'THE OBJECTION FROM ANARCHY', 'RENOUNCING INTENTIONAL CITIZENSHIP', 'CONCLUDING REMARKS', 'FUNDING STATEMENT', 'CONFLICT OF INTEREST', 'ETHICAL STANDARDS']",272.0
2025_Heddesheimer_The_Green_Transition_and_Political_Polarization_Along_Occupa.pdf,True,hybrid_1_2,"The introduction opens with a substantive puzzle about whether the green transition pushes workers in brown occupations and the communities around them toward the far right. It then explicitly identifies a literature gap, arguing that prior work has focused more on consumption costs, specific sectors, or demand-side mechanisms than on occupational exposure and supply-side politicization.",True,"As a first step, we use a difference-in-difference (DiD) design to show that following the AfD’s 2016 platform shift, counties with high pre-existing shares of brown employment experienced a significantly greater increase in AfD support in the 2017 and 2021 elections (relative to the 2013 baseline and to counties with lower shares).",False,separate_section,False,clear_what_only,"As a first step, we use a difference-in-difference (DiD) design to show that following the AfD’s 2016 platform shift, counties with high pre-existing shares of brown employment experienced a significantly greater increase in AfD support in the 2017 and 2021 elections (relative to the 2013 baseline and to counties with lower shares). In contrast, the Greens lost in counties with higher brown employment shares, particularly in 2021.",False,False,15,"['INTRODUCTION', 'LITERATURE AND THEORY', 'The Case', 'DATA', 'RESEARCH DESIGN', 'RESULTS', 'ROBUSTNESS', 'MECHANISMS', 'CONCLUSION', 'SUPPLEMENTARY MATERIAL', 'DATA AVAILABILITY STATEMENT', 'ACKNOWLEDGEMENTS', 'CONFLICT OF INTEREST', 'ETHICAL STANDARDS', 'References']",395.0
2025_Heinze_Democratic_Deepening_or_Elite_Persistence_How_Local_Elites.pdf,True,hybrid_1_2,"The introduction opens with a substantive puzzle about whether direct elections deepen democracy or merely reproduce elite domination, then explicitly identifies a literature gap on direct elections in unequal decentralized settings in the Global South. The contribution is framed as both explaining that puzzle and filling that gap.",True,"Direct elections usher in remarkably stronger local executives, reinforcing the link between de jure and de facto authority. However, there is a catch: the way this link is strengthened is not via altering the fabric of unequal power relations at the local level. Rather, the microfoundations of elite capture are merely reconfigured.",False,distributed,False,clear_what_and_magnitude,"Direct elections usher in remarkably stronger local executives, reinforcing the link between de jure and de facto authority. However, there is a catch: the way this link is strengthened is not via altering the fabric of unequal power relations at the local level.",False,False,14,"['INTRODUCTION', 'THEORETICAL PERSPECTIVES', 'THE CASE', 'DATA AND MULTI-METHOD RESEARCH DESIGN', 'THE CONTOURS OF CAPTURE AND EXECUTIVE AUTHORITY UNDER (IN)DIRECT ELECTIONS', 'DIRECT ELECTIONS BOOST THE LOCAL EXECUTIVE’S AUTHORITY', 'DISCUSSION: BEYOND ELITE INVARIANCE?', 'SUPPLEMENTARY MATERIAL', 'DATA AVAILABILITY STATEMENT', 'ACKNOWLEDGEMENTS', 'FUNDING STATEMENT', 'CONFLICT OF INTEREST', 'ETHICAL STANDARDS', 'REFERENCES']",268.1
2025_Huff_Racial_Inequality_in_War.pdf,True,hybrid_1_2,"The introduction opens with an empirical puzzle: Black soldiers are sometimes treated as expendable and sometimes kept away from the front. It then explicitly identifies a gap in prior scholarship on combat performance and offers a new theory, making it a fact-puzzle/gap-filling hybrid.",True,"Second, we show that during infantry operations, white units suffered nearly four times as many fatalities per period compared to Black units.",False,integrated_intro,False,clear_what_and_magnitude,"Second, we show that during infantry operations, white units suffered nearly four times as many fatalities per period compared to Black units. Third, several analyses indicate that Black units received worse support than white units when holding fixed combat exposure.",True,False,13,"['INTRODUCTION', 'A THEORY OF RACIAL INEQUALITY AND WHO DIES IN WAR', 'ASSESSING THE ARGUMENT: THE CASE OF WWI', 'NEWLY COMPILED DATA ON WWI UNITS AND CASUALTIES', 'RESULTS: DIFFERENTIAL OCCUPATIONAL SPECIALTIES, WARTIME ASSIGNMENTS, AND SUPPORT', 'CONSIDERING ALTERNATIVE MECHANISMS', 'CONCLUSION', 'SUPPLEMENTARY MATERIAL', 'DATA AVAILABILITY STATEMENT', 'ACKNOWLEDGEMENTS', 'CONFLICT OF INTEREST', 'ETHICAL STANDARDS', 'REFERENCES']",253.0
